Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.605555825457074,2.4624564927796966;"{""coordinates"": [2.462456492779697, 48.605555825457074], ""type"": ""Point""}";270.0;Essonnes-Robinson;Essonnes-Robinson;;;422776.0;Essonnes Robinson;45759.0;Essonnes Robinson;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;660368.7153000012;6834063.387899999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Essonnes-Robinson
48.63447902239015,2.4522898925389534;"{""coordinates"": [2.452289892538953, 48.63447902239015], ""type"": ""Point""}";276.0;Évry;Évry;Val de Seine;;60522.0;Évry;45745.0;Évry;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;659641.4811000004;6837283.9201;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Évry
48.92037937390294,2.185353376288785;"{""coordinates"": [2.185353376288785, 48.92037937390294], ""type"": ""Point""}";358.0;Houilles-Carrières-sur-Seine;Houilles-Carrières-sur-Seine;;;64741.0;Houilles - Carrières-sur-Seine;43082.0;Carrières-sur-Seine;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01852;C01739;TRAIN J;J;TRAIN J;SNCF;1.0;0.0;640300.5562999994;6869240.4012;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751;Houilles-Carrières-sur-Seine
48.68969793273182,2.382757203082266;"{""coordinates"": [2.382757203082266, 48.68969793273182], ""type"": ""Point""}";385.0;Juvisy;Juvisy;;;478505.0;Juvisy;45739.0;Juvisy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;1.0;654565.9877000004;6843460.556299999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Juvisy
48.966326543921575,2.3165820711557004;"{""coordinates"": [2.3165820711557, 48.966326543921575], ""type"": ""Point""}";390.0;La Barre-Ormesson;La Barre-Ormesson;;;65360.0;La Barre Ormesson;46470.0;La Barre Ormesson;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;649961.2985000014;6874258.487100001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;La Barre-Ormesson
48.84271995343402,2.138125058777295;"{""coordinates"": [2.138125058777295, 48.84271995343402], ""type"": ""Point""}";391.0;La Celle-Saint-Cloud;La Celle-Saint-Cloud;;;64251.0;La Celle-Saint-Cloud;47880.0;La Celle-Saint-Cloud;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A02176;C01740;TRAIN L;L;TRAIN L;SNCF;1.0;0.0;636745.4199000001;6860642.121599998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270;La Celle-Saint-Cloud
48.393641548618426,2.393410724045882;"{""coordinates"": [2.393410724045882, 48.393641548618426], ""type"": ""Point""}";503.0;Maisse;Maisse;;;59470.0;Maisse;43156.0;Maisse;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;655097.3352999985;6810544.237100001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Maisse
48.293591767794474,2.401133894429584;"{""coordinates"": [2.401133894429584, 48.293591767794474], ""type"": ""Point""}";955.0;Malesherbes;Malesherbes;;;411486.0;Malesherbes;411485.0;Malesherbes;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;RER D;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;0.0;1.0;655584.6925000027;6799419.8303;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Malesherbes
48.5705968577978,2.432098533660357;"{""coordinates"": [2.432098533660357, 48.5705968577978], ""type"": ""Point""}";534.0;Mennecy;Mennecy;;;59984.0;Mennecy;47899.0;Mennecy;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;658102.6114000008;6830192.787900001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54;Mennecy
48.9758587549065,2.6424063050298603;"{""coordinates"": [2.64240630502986, 48.9758587549065], ""type"": ""Point""}";551.0;Mitry-Claye;Mitry-Claye;;;69065.0;Mitry - Claye;43164.0;Mitry - Claye;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;RER B;0;0;0;0;A01857;C01743;RER B;B;RER B;SNCF;1.0;1.0;673822.1594000012;6875161.265099999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Mitry-Claye
