id;name;ligne;terminus;lat;long;links
172;Michel Ange-Molitor;9;0;48.84505817139289;2.2617451249636717;"381;24"
26;Miromesnil;9;0;48.87370952681687;2.314606321619312;"360;113"
2;Nation;9;0;48.84894464414299;2.395879435185689;"233;11"
35;Oberkampf;9;0;48.86472761980514;2.3684963871128453;"280;377"
103;Pont de Sèvres;9;1;48.82967484291788;2.2307995913172194;207
37;Porte de Montreuil;9;0;48.853543915162746;2.4106264257373304;"88;44"
191;Porte de Saint-Cloud;9;0;48.83796121261619;2.257122229845437;"345;381"
278;Ranelagh;9;0;48.85548504948359;2.2701091389418933;"342;227"
216;Richelieu-Drouot;9;0;48.87215235166664;2.339115039269688;"82;46"
44;Robespierre;9;0;48.85572642771233;2.4229832161458758;"37;327"
282;Rue de la Pompe;9;0;48.86397444486212;2.278112558447474;"227;379"
233;Rue des Boulets;9;0;48.85231542647832;2.389378127918613;"126;2"
280;République;9;0;48.867111637664216;2.364234945646939;"220;35"
377;Saint-Ambroise;9;0;48.86101925899877;2.374733431281321;"35;221"
113;Saint-Augustin;9;0;48.874558383790166;2.32136192810408;"26;1"
360;Saint-Philippe du Roule;9;0;48.87242238273023;2.310038344619937;"20;26"
220;Strasbourg-Saint-Denis;9;0;48.86922417073163;2.3546037906971624;"224;280"
379;Trocadéro;9;0;48.86306501930526;2.2862431706912574;"282;169"
221;Voltaire;9;0;48.85745372176051;2.3807187858562693;"377;126"
320;Alésia;4;0;48.82818847539264;2.327164649607824;"270;276"
388;Bagneux - Lucie Aubrac;4;1;48.802689076430376;2.318031246857529;144
144;Barbara;4;0;48.80970399661239;2.3174491879233723;"121;388"
239;Barbès-Rochechouart;4;0;48.88343618713858;2.3497744436462686;"246;69"
246;Château Rouge;4;0;48.88737490963283;2.349694082202741;"171;239"
17;Château d'Eau;4;0;48.872424913568224;2.3560449076721763;"371;107"
247;Châtelet;4;0;48.85838236938394;2.3475648297486296;"313;166"
166;Cité;4;0;48.854936375631816;2.347321315727238;"247;3"
145;Denfert-Rochereau;4;0;48.83345085729264;2.331740130985349;"365;270"
371;Gare de l'Est;4;0;48.87599106388642;2.357880771925327;"69;17"
69;Gare du Nord;4;0;48.87955128351821;2.3569951640085454;"239;371"
313;Les Halles;4;0;48.86231627777481;2.345673828222723;"341;247"
121;Mairie de Montrouge;4;0;48.8186764089917;2.319740313298556;"276;144"
171;Marcadet-Poissonniers;4;0;48.89141683329223;2.3497384070221425;"272;246"
293;Montparnasse-Bienvenüe;4;0;48.84378130391568;2.3243970123974527;"104;201"
270;Mouton-Duvernet;4;0;48.83111265945444;2.329705012620184;"145;320"
185;Odéon;4;0;48.85230076217341;2.3397277815930964;"3;116"
276;Porte d'Orléans;4;0;48.8234116280665;2.3255756362122453;"320;121"
203;Porte de Clignancourt;4;1;48.89740222197736;2.3448477487523984;272
365;Raspail;4;0;48.838964279789714;2.3307541920862165;"201;145"
366;Réaumur Sébastopol;4;0;48.86606968819477;2.352459744108264;"107;341"
116;Saint-Germain-des-Prés;4;0;48.85371893307178;2.333776136855682;"185;60"
3;Saint-Michel;4;0;48.85316798396978;2.343285978923924;"166;185"
104;Saint-Placide;4;0;48.8468782370313;2.326792785039298;"60;293"
